Link Tracking -URL Clicked,Sessions,Clicks,Package_Id,Package_Name
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/abedd8bc-e3dd-4d45-8e69-79165a76e4fa/resource/bdb0a332-aa84-42de-ac49-214cc68bb5ee/download/municipal address points (wgs84) - geojson.zip,27,29,abedd8bc-e3dd-4d45-8e69-79165a76e4fa,address-points-municipal-toronto-one-address-repository
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/e271cdae-8788-4980-96ce-6a5c95bc6618/resource/3b3c2673-5231-4aac-8b6a-dc558dce588c/download/ttc-bus-delay-data-2022.xlsx,26,30,e271cdae-8788-4980-96ce-6a5c95bc6618,ttc-bus-delay-data
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/204a7e54-8963-4e35-992e-5f21544ef595/resource/bb81bb0f-f88a-4f3e-bca7-a328154ba31b/download/ravine-natural-feature-protection-area-wgs84.zip,26,32,204a7e54-8963-4e35-992e-5f21544ef595,ravine-natural-feature-protection-area
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/4ef82789-e038-44ef-a478-a8f3590c3eb1/resource/979fb513-5186-41e9-bb23-7b5cc6b89915/download/apartment building evaluation.csv,25,25,4ef82789-e038-44ef-a478-a8f3590c3eb1,apartment-building-evaluation
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6ae000e1-9899-4f6e-8e7d-96dca267db80/resource/8dd4a83e-3284-4b16-9295-c256dcf62954/download/red light camera annual charges.xlsx,25,25,6ae000e1-9899-4f6e-8e7d-96dca267db80,red-light-camera-annual-charges
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/996cfe8d-fb35-40ce-b569-698d51fc683b/resource/441143ca-8194-44ce-a954-19f8141817c7/download/ttc-subway-delay-data-2022.xlsx,25,26,996cfe8d-fb35-40ce-b569-698d51fc683b,ttc-subway-delay-data
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/8c233bc2-1879-44ff-a0e4-9b69a9032c54/resource/0d26a209-6e61-4154-9d70-8a6ad0e2d14d/download/parking-tickets-2020.zip,24,28,8c233bc2-1879-44ff-a0e4-9b69a9032c54,parking-tickets
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/neighbourhood-crime-rates/resource/02898503-a367-4221-9e74-7addb260d110/download/neighbourhood-crime-rates - 4326.csv,23,23,neighbourhood-crime-rates,neighbourhood-crime-rates
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/15a37448-b27e-44d2-9c2e-52e148c8894f/resource/767e69b4-a764-4ad9-8b74-e34620bf61de/download/wellbeing-toronto-demographics.xlsx,23,24,15a37448-b27e-44d2-9c2e-52e148c8894f,wellbeing-toronto-demographics
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/ac77f532-f18b-427c-905c-4ae87ce69c93/resource/237d5eff-ba47-46c4-8717-a92a802abdf7/download/toronto-shelter-system-flow.csv,23,27,ac77f532-f18b-427c-905c-4ae87ce69c93,toronto-shelter-system-flow
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/108c2bd1-6945-46f6-af92-02f5658ee7f7/resource/e335a0af-a4eb-4c4d-978f-b85d737109f4/download/active building permits readme.xls,22,27,108c2bd1-6945-46f6-af92-02f5658ee7f7,building-permits-active-permits
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/0aa7e480-9b48-4919-98e0-6af7615b7809/resource/060be258-88ef-4fa3-a159-cbb60c9c1d47/download/development applications data.csv,22,23,0aa7e480-9b48-4919-98e0-6af7615b7809,development-applications
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/2b44db0d-eea9-442d-b038-79335368ad5a/resource/5c1c2c06-d27f-47b7-ae82-926a6d23d76f/download/bike-share-json.json,22,29,2b44db0d-eea9-442d-b038-79335368ad5a,bike-share-toronto
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/abedd8bc-e3dd-4d45-8e69-79165a76e4fa/resource/eba07dba-8645-45f8-950c-0381a0dcaa1b/download/municipal address points (wgs84) - shapefile.zip,22,23,abedd8bc-e3dd-4d45-8e69-79165a76e4fa,address-points-municipal-toronto-one-address-repository
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/52182614-1f0b-42be-aca4-3f86dc8e004c/resource/b9ce282a-e3d4-4c22-a114-5fab3b8502d4/download/2022 income scenario - with subsidies.csv,21,25,52182614-1f0b-42be-aca4-3f86dc8e004c,cost-of-living-in-toronto-for-low-income-households
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/traffic-volumes-at-intersections-for-all-modes/resource/71f08804-46ce-4a92-9e8f-9b0e67927ca6/download/raw-data-2020-2029.csv,21,22,traffic-volumes-at-intersections-for-all-modes,traffic-volumes-at-intersections-for-all-modes
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/9a284a84-b9ff-484b-9e30-82f22c1780b9/resource/75caaa71-0a7b-4f89-a573-7cfe07c1aa3d/download/green spaces - 4326.zip,20,21,9a284a84-b9ff-484b-9e30-82f22c1780b9,green-spaces
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/c01c6d71-de1f-493d-91ba-364ce64884ac/resource/7d68bb52-3285-45d7-a248-7748cb47f6ce/download/ttc-subway-shapefile-wgs84.zip,20,21,c01c6d71-de1f-493d-91ba-364ce64884ac,ttc-subway-shapefiles
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/498d16dd-31cf-4d68-8ba5-a9df131accc6/resource/351fc8a7-4bc1-4213-b5a5-e5c7c297f46d/download/wellbeing-toronto-housing.xlsx,20,23,498d16dd-31cf-4d68-8ba5-a9df131accc6,wellbeing-toronto-housing
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/b66466c3-69c8-4825-9c8b-04b270069193/resource/8549d588-30b0-482e-b872-b21beefdda22/download/green-p-parking-2019.json,20,33,b66466c3-69c8-4825-9c8b-04b270069193,green-p-parking
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/neighbourhoods/resource/d4b0aa31-19a7-47ff-a828-6893e5c17eec/download/neighbourhoods - historical 140 - 4326.zip,20,23,neighbourhoods,neighbourhoods
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/15a37448-b27e-44d2-9c2e-52e148c8894f/resource/82a63ca1-dcd3-46fa-a078-ba028b1cb8eb/download/wellbeing-toronto-population-total-2011-2016-and-age-groups-2016.xlsx,20,20,15a37448-b27e-44d2-9c2e-52e148c8894f,wellbeing-toronto-demographics
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/8c233bc2-1879-44ff-a0e4-9b69a9032c54/resource/511e834f-a5d2-4f7a-bd24-51d5305ca803/download/parking-ticket-data-readme.xls,19,21,8c233bc2-1879-44ff-a0e4-9b69a9032c54,parking-tickets
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/2b98b3f3-4f3a-42a4-a4e9-b44d3026595a/resource/97b8b7a4-baca-49c7-915d-335322dbcf95/download/apartment building registration data.csv,19,22,2b98b3f3-4f3a-42a4-a4e9-b44d3026595a,apartment-building-registration
